id,count,phylum,class,order,family
1,50,Acanthocephala,Archiacanthocephala,Gigantorhynchida,Gigantorhynchidae
2,50,Acanthocephala,Archiacanthocephala,Moniliformida,Moniliformidae
3,50,Acanthocephala,Archiacanthocephala,Oligacanthorhynchida,Oligacanthorhynchidae
4,30,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae
5,50,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae
6,30,Acanthocephala,Palaeacanthocephala,Polymorphida,Centrorhynchidae
7,50,Acanthocephala,Palaeacanthocephala,Polymorphida,Plagiorhynchidae
8,50,Annelida,Polychaeta,Capitellida,Arenicolidae
8,50,Annelida,Polychaeta,Phyllodocida,Acoetidae
8,50,Annelida,Polychaeta,Terebellida,Acrocirridae
8,50,Annelida,Oligochaeta,Opisthopora,Ailoscolecidae
8,50,Annelida,Hirudinea,Branchiobdellida,Bdellodrilidae
9,50,Arthropoda,Arachnida,Araneae,Mimetidae
10,40,Arthropoda,Chilopoda,Geophilomorpha,Geophilidae
12,40,Arthropoda,Insecta,Coleoptera,Chrysomelidae
13,61,Arthropoda,Insecta,Coleoptera,Histeridae
14,50,Arthropoda,Insecta,Diptera,ChironomidaeÂ 
15,44,Arthropoda,Insecta,Lepidoptera,Pieridae
16,40,Brachiopoda,Rhynchonellata,Spiriferida,Acrospiriferidae
17,40,Brachiopoda,Rhynchonellata,Spiriferida,Ambocoeliidae
17,40,Brachiopoda,Rhynchonellata,Atrypida,Anazygidae
17,40,Brachiopoda,Rhynchonellata,Atrypida,Anoplothecidae
17,40,Brachiopoda,Lingulata,Lingulida,Acrothelidae
17,40,Brachiopoda,Lingulata,Acrotretida,Acrotretidae
17,40,Brachiopoda,Strophomenata,Productida,Anopliidae
17,40,Bryozoa,Gymnolaemata,Cryptostomata,Acanthocladiidae
18,40,Bryozoa,Gymnolaemata,Cheilostomatida,Adeonidae
18,40,Bryozoa,Gymnolaemata,Cheilostomatida,Aeteidae
18,40,Bryozoa,Stenolaemata,Cyclostomatida,Crisiidae
18,40,Bryozoa,Phylactolaemata,Plumatellida,Cristatellidae
18,20,Chordata,Amphibia,Anura,Brachycephalidae
19,20,Chordata,Amphibia,Anura,Bufonidae
20,20,Chordata,Amphibia,Anura,Centrolenidae
21,20,Chordata,Amphibia,Anura,Dendrobatidae
22,20,Chordata,Amphibia,Anura,Hylidae
23,20,Chordata,Amphibia,Anura,Hyperolidae
24,20,Chordata,Amphibia,Anura,Leptodactylidae
25,20,Chordata,Amphibia,Anura,Mantellidae
26,20,Chordata,Amphibia,Anura,Microhylidae
27,20,Chordata,Amphibia,Anura,Myobatrachidae
28,20,Chordata,Amphibia,Anura,Pelobatidae
29,20,Chordata,Amphibia,Anura,Pipidae
30,20,Chordata,Amphibia,Anura,Pseudidae
31,20,Chordata,Amphibia,Anura,Ranidae
32,20,Chordata,Amphibia,Anura,Rhacophoridae
33,20,Chordata,Amphibia,Anura,Rhinatrematidae
34,20,Chordata,Amphibia,Anura,Rhinodermatidae
35,20,Chordata,Amphibia,Caudata,Ambystomatidae
36,20,Chordata,Amphibia,Caudata,Amphiumidae
37,20,Chordata,Amphibia,Caudata,Cryptobranchidae
38,20,Chordata,Amphibia,Caudata,Dicamptontidae
39,20,Chordata,Amphibia,Caudata,Hynobiidae
40,20,Chordata,Amphibia,Caudata,Plethodontidae
41,20,Chordata,Amphibia,Caudata,Proteidae
42,10,Chordata,Amphibia,Caudata,Salamandridae
43,10,Chordata,Amphibia,Caudata,Sirenidae
44,10,Chordata,Amphibia,Gymnophiona,Caeciliaidae
45,10,Chordata,Amphibia,Gymnophiona,Ichthyophiidae
46,20,Chordata,Aves,Columbiformes,Columbidae
47,10,Chordata,Aves,Passeriformes,Emberizidae
48,10,Chordata,Mammalia,Artiodactyla,Bovidae
49,20,Chordata,Mammalia,Carnivora,Canidae
50,10,Chordata,Mammalia,Carnivora,Felidae
51,10,Chordata,Osteichthyes,Acanthuriformes,Acanthuridae
52,20,Chordata,Osteichthys,Ophidiiformes,Carapidae
53,20,Chordata,Reptilia,Crocodilia,Alligatoridae
54,20,Chordata,Reptilia,Crocodilia,Crocodylidae
55,10,Chordata,Reptilia,Crocodilia,Gavialidae
56,20,Chordata,Reptilia,Rhynchocephalia,Sphenodontidae
57,10,Chordata,Reptilia,Squamata,Acrochordidae
58,10,Chordata,Reptilia,Squamata,Agamidae
59,10,Chordata,Reptilia,Squamata,Amphisbaenidae
60,20,Chordata,Reptilia,Squamata,Anguidae
61,10,Chordata,Reptilia,Squamata,Anilidae
62,10,Chordata,Reptilia,Squamata,Anilidae
63,20,Chordata,Reptilia,Squamata,Anniellidae
64,20,Chordata,Reptilia,Squamata,Anomalepididae
65,10,Chordata,Reptilia,Squamata,Boidae
66,10,Chordata,Reptilia,Squamata,Bolyeriidae
67,10,Chordata,Reptilia,Squamata,Chamaeleonidae
68,20,Chordata,Reptilia,Squamata,Colubridae
69,10,Chordata,Reptilia,Squamata,Cordylidae
70,10,Chordata,Reptilia,Squamata,Dibamidae
71,10,Chordata,Reptilia,Squamata,Elapidae
72,20,Chordata,Reptilia,Squamata,Gekkonidae
73,10,Chordata,Reptilia,Squamata,Gerrhopilidae
74,10,Chordata,Reptilia,Squamata,Gerrhosauridae
75,10,Chordata,Reptilia,Squamata,Gymnophthalmidae
76,20,Chordata,Reptilia,Squamata,Helodermatidae
77,10,Chordata,Reptilia,Squamata,Hydrophiidae
78,10,Chordata,Reptilia,Squamata,Iguanidae
79,10,Chordata,Reptilia,Squamata,Lacertidae
80,20,Chordata,Reptilia,Squamata,Lanthanotidae
81,10,Chordata,Reptilia,Squamata,Leptotyphlopidae
82,20,Chordata,Reptilia,Squamata,Loxocemidae
83,20,Chordata,Reptilia,Squamata,Pygopodidae
84,20,Chordata,Reptilia,Squamata,Teiidae
85,20,Chordata,Reptilia,Squamata,Teiidae
86,20,Chordata,Reptilia,Squamata,Trogonophidae
87,10,Chordata,Reptilia,Squamata,Tropidophidae
88,20,Chordata,Reptilia,Squamata,Typhlopidae
89,10,Chordata,Reptilia,Squamata,Uropeltidae
90,20,Chordata,Reptilia,Squamata,Varanidae
91,10,Chordata,Reptilia,Squamata,Viperidae
92,10,Chordata,Reptilia,Squamata,Xantusidae
93,20,Chordata,Reptilia,Squamata,Xenopeltidae
94,10,Chordata,Reptilia,Squamata,Xenosauridae
95,10,Chordata,Reptilia,Testudinata,Carettochelyidae
96,20,Chordata,Reptilia,Testudinata,Chelidae
97,10,Chordata,Reptilia,Testudinata,Cheloniidae
98,10,Chordata,Reptilia,Testudinata,Chelydridae
99,10,Chordata,Reptilia,Testudinata,Dermatemydidae
100,10,Chordata,Reptilia,Testudinata,Dermochelyidae
101,10,Chordata,Reptilia,Testudinata,Emydidae
102,10,Chordata,Reptilia,Testudinata,Kinosternidae
103,10,Chordata,Reptilia,Testudinata,Pelomedusidae
104,10,Chordata,Reptilia,Testudinata,Platysternidae
105,10,Chordata,Reptilia,Testudinata,Testudinidae
106,10,Chordata,Reptilia,Testudinata,Trionychidae
109,50,Cnidaria,Anthozoa,Scleractinia,Agariciidae
107,50,Cnidaria,Anthozoa,Rugosa,Acervulariidae
109,50,Cnidaria,Anthozoa,Rugosa,Aulophyllidae
109,50,Cnidaria,Anthozoa,Tabulata,Auloporidae
109,50,Cnidaria,Anthozoa,Alcyonacea,Umbellulidae
109,50,Cnidaria,Anthozoa,Pennatulacea,Veretillidae
109,50,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae
108,50,Cnidaria,Hydrozoa,Siphonophorae,Abylidae
109,50,Cnidaria,Hydrozoa,Stromatoporoidea,Aulaceridae
109,50,Cnidaria,Scyphozoa,Coronatae,Atorellidae
108,50,Ctenophora,Nuda,Beroida,Beroidae
109,50,Ctenophora,Tentaculata,Cydippida,Euchloridae
109,50,Ctenophora,Tentaculata,Cydippida,Lampeidae
109,50,Ctenophora,Tentaculata,Lobata,Ocyropsidae
110,20,Echinodermata,Asteroidea,Valvatida,Acanthasteridae
111,50,Echinodermata,Asteroidea,Valvatida,Phorida
112,20,Echinodermata,Crinoidea,Cladida,Agassizocrinidae
113,20,Echinodermata,Echinoidea,Arbacioida,Acropeltidae
114,20,Echinodermata,Echinoidea,Salenioida,Acrosaleniidae
115,20,Echinodermata,Echinoidea,Spatangoida,Aeropsidae
116,20,Echinodermata,Edrioasteroidea,Isorophida,Agelacrinitidae
117,20,Echinodermata,Ophiuroidea,Ophiurida,Amphilepididae
118,50,Echinodermata,Ophiuroidea,Ophiurida,Asterinidae
122,20,Mollusca,Bivalvia,Carditida,Carditidae
123,20,Mollusca,Bivalvia,Myoida,Pholadidae
124,20,Mollusca,Bivalvia,Veneroida,Donacidae
125,40,Mollusca,Gastropoda,Littorinimorpha,Trichotropidae
126,20,Mollusca,Gastropoda,Neogastropoda,Columbellidae
127,20,Mollusca,Gastropoda,Stylommatophora,Helicarionidae
130,20,Nemertea,Enopla,Monostilifera,Acteonemertidae
131,20,Nemertea,Enopla,Monostilifera,Amphiporidae
132,20,Nemertea,Enopla,Monostilifera,Plectonemertidae
133,20,Nemertea,Enopla,Monostilifera,Tetrastemmatidae
134,20,Nemertea,Enopla,Polystilifera,Drepanophoridae
136,20,Platyhelminthes,Cestoda,Cyclophyllidae,Anoplocephalidae
137,20,Platyhelminthes,Cestoda,Cyclophyllidae,Dilepididae
138,20,Platyhelminthes,Cestoda,Tetraphyllidea,Onchobothriidae
140,20,Platyhelminthes,Monogenea,Capsalidea,Dionchidae
141,20,Platyhelminthes,Rhabditophora,Polycladida,Chromoplanidae
142,20,Platyhelminthes,Rhabditophora,Rhabdoecoela,Graffillidae
143,20,Platyhelminthes,Trematoda,Digenea,Brachycoellidae
144,20,Platyhelminthes,Trematoda,Digenea,Diplostomatidae
145,20,Platyhelminthes,Turbellaria,Prolecithophora,Protomonotresidae
146,20,Porifera,Calcarea,Leucosolenida,Amphoriscidae
147,40,Porifera,Demospongiae,Hadromerida,Suberitidae
148,20,Porifera,Demospongiae,Halichondrida,Dictyonellidae
149,20,Porifera,Hexactinellida,Lyssacinosida,Rossellidae
151,50,Tardigrada,Eutardigrada,Parachela,Hypsibiidae
152,60,Tardigrada,Heterotardigrada,Echiniscoidea,Echiniscoididae
